kod;nazev;odkaz;volici;obalky;hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
506761;Alojzov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=506761&xvyber=7103;205;145;144;29;0;0;9;0;5;17;4;1;1;0;0;18;0;5;32;0;0;6;0;0;1;1;15;0
589268;Bedihoöù;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589268&xvyber=7103;834;527;524;51;0;0;28;1;13;123;2;2;14;1;0;34;0;6;140;0;0;26;0;0;0;0;82;1
589276;BÌlovice-LutotÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589276&xvyber=7103;431;279;275;13;0;0;32;0;8;40;1;0;4;0;0;30;0;3;83;0;0;22;0;0;0;1;38;0
589284;Biskupice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589284&xvyber=7103;238;132;131;14;0;0;9;0;5;24;2;1;1;0;0;10;2;0;34;0;0;10;0;0;0;0;19;0
589292;Bohuslavice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589292&xvyber=7103;376;236;236;20;0;0;23;0;3;22;3;4;6;0;1;17;0;4;53;1;1;39;0;0;3;0;36;0
589306;BousÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589306&xvyber=7103;107;67;67;5;0;0;4;0;3;14;0;2;0;0;0;7;0;2;10;0;0;9;0;0;0;0;11;0
589314;Brodek u Konice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589314&xvyber=7103;695;460;460;25;0;0;32;0;20;47;3;4;5;0;0;38;1;5;144;0;0;60;1;0;1;0;72;2
589322;Brodek u ProstÏjova;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589322&xvyber=7103;1†224;656;655;54;0;0;42;0;21;61;5;4;11;1;2;57;0;22;202;0;1;53;2;1;3;4;107;2
589331;B¯ezsko;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589331&xvyber=7103;178;111;111;9;1;0;9;0;6;3;0;3;1;0;0;10;1;2;36;0;0;17;0;0;0;0;13;0
589349;BudÏtsko;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589349&xvyber=7103;331;208;206;6;0;0;24;0;6;22;1;3;2;0;0;7;1;3;58;0;1;32;0;1;2;0;35;2
589357;Bukov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589357&xvyber=7103;264;170;169;16;0;0;19;0;3;33;2;0;3;0;0;14;0;2;35;1;0;25;0;1;0;0;15;0
589365;»ehovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589365&xvyber=7103;426;281;280;16;0;0;27;0;8;42;5;7;5;0;0;18;0;10;80;0;1;13;0;0;1;3;44;0
589381;»echy pod KosÌ¯em;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589381&xvyber=7103;814;512;512;25;1;0;66;1;20;79;7;7;6;0;0;31;2;7;140;0;0;47;0;0;0;3;70;0
589390;»elËice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589390&xvyber=7103;437;272;272;21;0;0;23;1;10;46;5;0;3;0;1;18;0;2;74;0;1;15;0;0;1;1;49;1
589403;»elechovice na HanÈ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589403&xvyber=7103;1†063;649;642;49;0;1;45;0;63;76;2;3;0;1;0;43;0;15;198;0;2;32;0;1;0;6;103;2
589420;DÏtkovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589420&xvyber=7103;427;284;281;19;0;0;12;0;6;47;2;4;4;1;0;38;0;2;82;0;0;36;0;2;0;1;25;0
589438;Dobrochov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589438&xvyber=7103;270;172;170;13;0;0;14;1;7;13;5;2;3;0;0;13;0;5;51;0;1;17;0;0;0;0;25;0
589446;Dobromilice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589446&xvyber=7103;629;308;308;9;0;4;22;0;14;42;1;0;1;0;0;10;0;0;95;1;1;36;2;0;0;0;68;2
589454;Doloplazy;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589454&xvyber=7103;459;244;244;24;1;0;20;0;5;37;2;0;3;0;0;12;0;0;71;0;0;8;1;1;2;1;56;0
589462;Drahany;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589462&xvyber=7103;443;290;287;11;0;0;29;0;28;44;2;6;6;0;0;9;0;9;70;0;2;17;0;1;1;1;51;0
558419;Drûovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=558419&xvyber=7103;1†139;748;742;78;1;0;42;3;40;45;4;6;5;0;9;60;0;15;275;0;2;38;0;4;1;5;102;7
589489;D¯evnovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589489&xvyber=7103;380;220;219;6;0;0;15;0;4;28;1;1;0;0;0;24;0;2;68;0;0;32;0;0;0;0;38;0
589497;Dzbel;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589497&xvyber=7103;209;133;133;2;1;0;11;0;5;22;0;1;1;0;0;6;0;0;50;0;0;24;0;0;2;0;8;0
549967;HaËky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=549967&xvyber=7103;83;67;65;4;0;1;10;1;4;0;0;0;3;0;0;0;1;1;12;0;0;18;0;0;3;0;5;2
589501;Hluchov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589501&xvyber=7103;292;174;173;9;0;0;9;0;4;25;5;0;6;0;0;7;0;1;61;0;0;9;0;0;0;1;36;0
589519;HornÌ ätÏp·nov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589519&xvyber=7103;749;454;452;16;0;0;56;0;10;48;1;4;1;0;1;41;0;5;130;0;0;64;4;0;2;2;66;1
589527;HradËany-Kobe¯ice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589527&xvyber=7103;326;196;194;11;0;0;16;0;5;24;1;0;1;1;1;14;0;1;50;0;0;14;0;0;3;3;49;0
589535;Hrdibo¯ice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589535&xvyber=7103;178;109;109;12;0;0;3;0;2;22;1;0;3;0;0;10;0;3;27;0;0;5;0;0;0;0;20;1
589543;HrubËice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589543&xvyber=7103;617;376;374;35;0;0;24;0;14;44;0;4;4;0;0;35;0;9;129;0;0;28;0;0;2;3;41;2
543543;Hruöka;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=543543&xvyber=7103;191;90;88;3;0;0;1;0;4;18;0;0;0;0;0;4;0;1;33;0;0;6;0;0;0;1;17;0
589560;Hvozd;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589560&xvyber=7103;524;340;336;16;1;0;34;0;14;42;2;7;4;0;1;30;0;5;79;0;1;59;1;0;1;0;36;3
589578;IvaÚ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589578&xvyber=7103;390;238;237;32;0;0;7;0;1;36;1;3;0;0;0;15;0;9;63;0;0;23;0;0;1;0;44;2
589586;Jesenec;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589586&xvyber=7103;246;139;139;6;2;0;9;0;4;14;0;4;0;0;2;5;0;5;43;0;0;16;0;3;0;2;24;0
589594;Kladky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589594&xvyber=7103;289;140;140;7;3;0;17;0;2;17;0;3;2;0;2;9;0;3;30;0;0;24;1;0;1;1;17;1
589608;Klenovice na HanÈ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589608&xvyber=7103;654;355;354;13;2;0;17;1;7;61;1;0;5;1;0;31;0;2;125;1;0;29;0;0;0;0;52;6
589616;Klopotovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589616&xvyber=7103;238;165;165;6;0;0;20;0;5;33;3;0;0;1;1;10;0;1;39;0;0;17;0;1;1;0;27;0
589624;Konice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589624&xvyber=7103;2†285;1†393;1†358;91;3;0;158;2;69;154;14;8;15;0;1;94;2;39;278;0;3;199;2;3;2;23;193;5
589632;Kostelec na HanÈ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589632&xvyber=7103;2†302;1†334;1†323;97;0;0;130;1;47;86;22;9;10;0;5;112;2;53;389;0;0;136;0;7;4;4;203;6
589641;Kov·lovice-OsÌËany;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589641&xvyber=7103;232;152;151;4;0;0;14;1;3;25;1;0;3;0;0;5;0;1;33;0;4;30;0;0;0;0;27;0
589659;Kralice na HanÈ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589659&xvyber=7103;1†257;807;804;96;1;2;53;2;39;57;5;9;4;2;0;69;0;19;250;1;1;60;2;2;1;6;116;7
589667;KrumsÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589667&xvyber=7103;465;284;284;22;0;0;30;1;8;34;1;0;0;1;0;22;0;4;64;0;0;52;0;2;0;0;42;1
589675;Laökov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589675&xvyber=7103;487;335;334;15;1;0;18;1;9;30;3;0;5;0;0;23;0;10;103;0;0;71;0;3;3;1;37;1
589683;Leöany;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589683&xvyber=7103;320;196;194;22;1;0;10;0;2;17;7;2;5;0;0;11;2;0;69;0;0;16;0;1;1;3;24;1
589691;Lipov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589691&xvyber=7103;615;450;449;24;0;0;39;0;16;51;1;1;4;0;0;21;0;8;132;0;0;102;0;0;0;0;50;0
589705;LudmÌrov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589705&xvyber=7103;480;239;239;11;0;0;25;0;11;28;0;2;3;0;0;10;0;3;82;0;0;34;0;0;0;1;29;0
589713;MalÈ Hradisko;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589713&xvyber=7103;309;185;185;18;0;3;19;0;13;23;3;1;0;0;0;7;0;1;38;0;0;27;0;2;0;0;28;2
589721;Mo¯ice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589721&xvyber=7103;422;226;223;8;0;0;20;0;22;39;2;2;1;0;0;9;0;1;66;0;0;13;0;1;0;0;39;0
589730;Mostkovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589730&xvyber=7103;1†248;842;836;98;1;1;55;0;23;59;7;2;3;0;2;58;0;21;299;1;1;49;0;3;0;4;141;8
589748;Myslejovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589748&xvyber=7103;569;371;370;31;0;0;31;0;10;54;2;3;0;2;0;47;0;2;95;0;0;18;0;0;1;3;71;0
589756;NÏmËice nad Hanou;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589756&xvyber=7103;1†612;942;939;79;1;4;96;0;23;110;6;6;4;3;1;44;3;24;264;0;2;79;1;6;2;5;176;0
589764;Nezamyslice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589764&xvyber=7103;1†140;619;615;51;2;0;56;0;27;58;4;6;2;1;1;35;1;16;205;0;0;57;1;0;0;3;89;0
589772;Niva;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589772&xvyber=7103;257;160;160;6;0;0;26;0;7;32;1;1;2;0;0;10;0;0;41;0;0;12;0;0;0;1;21;0
589799;ObÏdkovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589799&xvyber=7103;207;95;94;3;0;0;6;0;1;17;0;1;2;0;0;1;0;4;30;0;0;5;0;0;0;1;23;0
589802;Ohrozim;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589802&xvyber=7103;370;267;266;30;0;0;20;1;10;18;0;1;3;1;0;21;0;8;56;0;2;51;0;0;0;3;40;1
589811;Ochoz;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589811&xvyber=7103;152;102;99;9;0;0;4;0;2;8;0;0;1;0;0;3;0;4;25;0;0;31;0;0;6;1;5;0
589829;Olöany u ProstÏjova;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589829&xvyber=7103;1†375;844;839;72;0;0;75;0;17;56;15;9;9;5;0;64;1;19;293;0;3;41;0;12;1;3;138;6
589837;Ondratice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589837&xvyber=7103;289;173;171;9;0;1;10;0;4;28;0;5;2;0;1;12;0;2;36;0;0;30;0;2;0;0;28;1
589845;Otaslavice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589845&xvyber=7103;1†029;650;647;81;2;0;66;0;9;74;3;4;2;0;4;59;2;16;156;2;0;56;0;2;0;3;106;0
589853;Otinoves;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589853&xvyber=7103;229;144;143;3;0;0;8;0;3;17;0;0;0;0;0;20;0;5;40;0;0;25;0;0;2;2;18;0
557196;Pavlovice u KojetÌna;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=557196&xvyber=7103;232;135;134;4;0;0;12;0;11;21;0;1;1;0;0;6;0;1;44;0;0;12;0;0;1;0;19;1
589870;PÏnËÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589870&xvyber=7103;594;352;349;18;2;2;22;1;12;37;2;2;3;0;0;15;0;4;113;1;1;41;0;1;2;1;68;1
589888;PivÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589888&xvyber=7103;565;382;381;19;0;0;13;1;23;24;1;3;5;0;1;20;0;10;118;0;0;64;0;0;1;1;77;0
589896;Plumlov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589896&xvyber=7103;1†934;1†180;1†175;120;0;2;100;0;24;102;16;3;11;2;4;118;2;40;312;1;0;110;0;5;3;2;197;1
549983;PolomÌ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=549983&xvyber=7103;124;78;78;2;0;0;12;0;3;11;0;1;6;0;0;3;0;2;15;0;0;12;0;2;1;0;8;0
589250;ProstÏjov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589250&xvyber=7103;35†975;21†073;20†934;2†152;17;33;1†925;16;459;1†699;350;120;270;26;25;1†942;6;709;6†322;16;31;1†269;10;109;29;71;3†261;67
589918;ProstÏjoviËky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589918&xvyber=7103;242;138;137;13;0;0;12;0;5;20;6;2;1;0;0;12;0;1;38;0;1;15;0;0;0;0;11;0
589926;Protivanov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589926&xvyber=7103;805;549;547;45;0;0;59;1;15;52;2;4;5;1;0;31;0;5;144;0;1;101;0;10;1;2;68;0
589934;P¯emyslovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589934&xvyber=7103;1†029;621;617;36;0;1;54;2;9;74;9;6;6;0;0;24;0;11;202;1;0;77;0;1;1;1;101;1
589942;PtenÌ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589942&xvyber=7103;880;524;520;26;0;0;51;0;17;49;6;4;2;0;0;38;3;8;135;1;1;114;0;6;1;5;53;0
589951;Rakov· u Konice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589951&xvyber=7103;163;104;101;5;0;0;0;0;5;16;1;0;0;0;0;10;0;1;30;0;0;19;0;0;0;2;11;1
589969;Rak˘vka;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589969&xvyber=7103;80;61;61;1;0;0;11;0;0;8;0;1;0;0;0;4;0;2;17;0;0;2;0;0;0;0;13;2
589977;Rozst·nÌ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589977&xvyber=7103;503;294;290;24;0;1;16;0;6;28;6;7;5;0;0;19;0;5;94;0;1;35;0;0;0;0;43;0
506770;Seloutky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=506770&xvyber=7103;410;288;287;34;0;0;19;0;6;33;3;2;3;0;0;29;0;9;87;0;0;30;0;0;0;0;32;0
589993;Skalka;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589993&xvyber=7103;212;131;131;7;0;0;7;0;7;20;1;1;1;0;0;14;0;4;31;0;0;17;0;1;0;0;20;0
590002;Sk¯Ìpov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590002&xvyber=7103;274;145;144;4;0;0;11;0;1;43;2;2;1;0;0;12;0;1;36;0;0;12;0;0;0;0;19;0
590011;Slatinky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590011&xvyber=7103;453;314;313;32;0;0;15;1;16;30;7;0;2;0;0;44;0;23;87;0;0;27;0;0;0;0;29;0
590029;Smrûice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590029&xvyber=7103;1†319;797;786;92;0;0;62;0;20;45;4;7;2;0;2;66;0;32;263;0;1;68;1;6;4;3;107;1
590045;Srbce;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590045&xvyber=7103;73;39;39;2;0;0;1;0;6;11;0;0;3;0;0;0;0;1;7;0;0;0;0;0;0;0;8;0
590053;Sta¯echovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590053&xvyber=7103;447;279;278;23;1;0;26;0;17;30;1;1;6;0;0;11;0;9;82;0;3;13;0;1;1;1;52;0
590061;StÌnava;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590061&xvyber=7103;126;74;73;3;0;0;7;0;1;7;0;0;0;0;0;5;1;3;11;0;0;22;0;0;0;0;13;0
590070;Straûisko;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590070&xvyber=7103;345;222;220;3;1;0;20;0;4;25;1;1;2;0;0;14;0;2;83;0;0;30;0;0;0;0;34;0
590088;Suchdol;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590088&xvyber=7103;499;360;356;18;0;0;41;2;12;25;3;1;3;0;0;31;1;4;71;0;0;100;1;1;3;1;38;0
590096;äubÌ¯ov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590096&xvyber=7103;204;110;109;6;0;0;9;0;6;14;2;1;1;0;1;12;0;2;37;0;0;7;0;0;0;0;11;0
590100;TiötÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590100&xvyber=7103;393;215;215;6;1;0;32;0;17;15;5;0;4;2;0;6;0;3;63;0;0;14;0;1;0;1;43;2
590118;Tvorovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590118&xvyber=7103;252;152;152;9;0;0;9;0;14;22;1;1;0;0;0;8;0;1;38;0;0;18;0;1;0;3;24;3
590126;UrËice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590126&xvyber=7103;1†101;613;611;68;0;5;35;1;29;69;18;5;11;0;1;38;0;12;158;1;0;35;0;6;0;4;110;5
590134;VÌcemÏ¯ice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590134&xvyber=7103;354;204;204;11;0;0;33;0;3;19;1;2;1;0;0;18;1;5;56;0;0;13;0;3;0;4;33;1
590142;VÌcov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590142&xvyber=7103;404;254;250;17;0;0;11;1;5;24;4;4;3;1;0;20;0;6;69;0;0;40;0;0;0;3;41;1
544710;Vincencov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=544710&xvyber=7103;109;80;80;3;0;0;5;0;5;5;1;0;1;0;0;9;0;3;15;0;1;17;0;0;0;0;15;0
590151;VitËice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590151&xvyber=7103;146;84;84;6;1;1;5;0;3;5;0;2;0;0;0;6;0;0;33;0;1;6;0;0;0;0;15;0
590177;Vranovice-KelËice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590177&xvyber=7103;492;321;318;23;1;0;17;0;7;22;1;0;5;0;0;14;1;6;135;0;0;43;0;0;0;0;43;0
590185;Vrb·tky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590185&xvyber=7103;1†306;863;857;68;1;1;60;1;31;85;7;6;11;4;1;68;0;14;287;0;1;79;0;2;1;5;119;5
590193;Vrchoslavice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590193&xvyber=7103;478;282;275;17;0;0;20;0;16;31;3;1;3;1;0;18;0;4;87;2;2;15;0;4;1;1;49;0
590207;V¯esovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590207&xvyber=7103;419;281;280;15;0;0;16;0;8;41;3;0;1;0;0;14;0;8;61;0;2;69;0;0;1;1;40;0
590215;V˝öovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590215&xvyber=7103;399;266;263;28;0;2;25;0;2;25;3;1;3;1;1;21;1;16;69;0;0;21;0;1;1;1;41;0
590223;ZdÏtÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590223&xvyber=7103;282;196;194;6;0;0;21;0;13;16;1;0;0;1;0;21;0;2;53;0;1;18;0;0;0;2;38;1
590240;éeleË;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590240&xvyber=7103;436;278;278;21;0;0;15;0;17;49;3;7;2;2;0;17;0;2;67;0;0;28;0;0;0;1;47;0
